"Código","Nombre","Categoria","Unid / Frac.","Stock Actual","Stock Minimo","Costo","Precio","Valor Stock Actual","Valor Stock Custo","Valor vendido","Cantidad Vendida","Ganancia"
"7453130333983","Jeans palazzo","JEANS","unidad","0",0,"16,3","32","0","0","480","15","235,5"
"0774SEBUSCA","Jeans bota campana ","JEANS","unidad","0",0,"14,55","27","0","0","378","14","174,3"
"0785SEBUSCA","Jeans ancho ","JEANS","unidad","0",0,"17","28","0","0","582,4","21","225,4"
"0756SEBUSCA","Jeans ancho ","JEANS","unidad","0",0,"15,37","27","0","0","162","6","69,78"
"7453130334461","Jeans ancho ","JEANS","unidad","1",0,"14,9","26","26","14,9","254,8","10","105,8"
"7453120390064","Jeans ancho ","JEANS","unidad","5",0,"14,9","27","135","74,5","162","6","72,6"
"0738SEBUSCA","Jeans ancho","JEANS","unidad","0",0,"17","28","0","0","492,8","18","186,8"
"7453130321997","Jeans palazzo","JEANS","unidad","0",0,"19","32","0","0","32","1","13"
"1332MARRON","Chaleco","BLUSAS/TOPS/CHALECOS","unidad","0",0,"10","22","0","0","44","2","24"
"1332BEIGE","Chaleco ","BLUSAS/TOPS/CHALECOS","unidad","0",0,"10","22","0","0","44","2","24"
"1332CREMA","Chaleco ","BLUSAS/TOPS/CHALECOS","unidad","0",0,"10","22","0","0","22","1","12"
"1332NEGRO","Chaleco  ","BLUSAS/TOPS/CHALECOS","unidad","1",0,"10","22","22","10","22","1","12"
"3268CHICMI","Top manga larga","BLUSAS/TOPS/CHALECOS","unidad","3",0,"14,75","17","51","44,25","49,3","3","5,05"
"3268CHICMI","Top manga larga","BLUSAS/TOPS/CHALECOS","unidad","3",0,"14,75","17","51","44,25","51","3","6,75"
"7453128380579","Jeans palazzo ","JEANS","unidad","0",0,"16,3","32","0","0","576","18","282,6"
"1219ROSA","Set de chaleco y pantalon ","SETS","unidad","0",0,"19","30","0","0","90","3","33"
"5173NEGRO","Set de chaleco y pantalon ","SETS","unidad","0",0,"17","30","0","0","210","7","85"
"5173BEIGE","Set de chaleco y pantalon  ","SETS","unidad","0",0,"17","30","0","0","120","4","50"
"1219NEGRO","Set de chaleco y pantalon  ","SETS","unidad","0",0,"19","30","0","0","90","3","33"
"0358BEIGE","Set de blusa y pantalon ","SETS","unidad","0",0,"15","27","0","0","108","4","48"
"3415CREMA","Set de chaqueta y pantalon  ","SETS","unidad","0",0,"14,5","30","0","0","171","6","82,5"
"0358NEGRO","Set de blusa y pantalon   ","SETS","unidad","0",0,"15","27","0","0","108","4","48"
"0358AZUL","Set de blusa y pantalon  ","SETS","unidad","0",0,"15","27","0","0","108","4","48"
"0372NEGRO","Set de blusa y pantalon","SETS","unidad","0",0,"15","27","0","0","108","4","48"
"0372BLANCO","Set de blusa y pantalon ","SETS","unidad","0",0,"15","27","0","0","54","2","24"
"0372VERDE","Set de blusa y pantalon ","SETS","unidad","0",0,"15","27","0","0","108","4","48"
"0372BEIGE","Set de blusa y pantalon ","SETS","unidad","0",0,"15","27","0","0","81","3","36"
"0372CREMA","Set de blusa y pantalon ","SETS","unidad","0",0,"15","27","0","0","81","3","36"
"0389BEIGE","Set de top y pantalon","SETS","unidad","0",0,"15","27","0","0","108","4","48"
"2203NEGRO","Set de top y pantalon","SETS","unidad","0",0,"11","27","0","0","135","5","64"
"2203CREMA","Set de top y pantalon ","SETS","unidad","0",0,"11","27","0","0","108","4","56"
"2203BLANCO","Set de top y pantalon ","SETS","unidad","0",0,"15","27","0","0","162","6","72"
"0783SEBUSCA","Jeans bota ancha ","JEANS","unidad","3",0,"16","28","84","48","308","11","132"
"5076SEBUSCA","Jeans bota ancha","JEANS","unidad","1",0,"16","28","28","16","386,4","14","162,4"
"5097SEBUSCA","Jeans bota ancha","JEANS","unidad","0",0,"17","28","0","0","392","14","154"
"TOP128","Top estilo chaleco","BLUSAS/TOPS/CHALECOS","unidad","0",0,"14","25","0","0","344","16","172,5"
"TOP129","Top basico ","BLUSAS/TOPS/CHALECOS","unidad","3",0,"6,5","17","51","19,5","68","4","42"
"TOP130ALGODON","Top basico  ","BLUSAS/TOPS/CHALECOS","unidad","0",0,"6,5","17","0","0","117,3","7","71,8"
"TOP131","Top basico ","BLUSAS/TOPS/CHALECOS","unidad","2",0,"6,5","17","34","13","270,3","16","166,3"
"TOP132","Top basico  ","BLUSAS/TOPS/CHALECOS","unidad","6",0,"6,5","17","102","39","83,3","5","50,8"
"TOP133","Top basico  ","BLUSAS/TOPS/CHALECOS","unidad","0",0,"6,5","17","0","0","85","5","52,5"
"TOP134","Top basico  ","BLUSAS/TOPS/CHALECOS","unidad","4",0,"6,5","17","68","26","51","3","31,5"
"TOP135","Top basico   ","BLUSAS/TOPS/CHALECOS","unidad","2",0,"6,5","17","34","13","221","13","136,5"
"TOP136","Top basico  ","BLUSAS/TOPS/CHALECOS","unidad","6",0,"6,5","17","102","39","153","9","94,5"
"TOP137","Top basico  ","BLUSAS/TOPS/CHALECOS","unidad","4",0,"6,5","17","68","26","272","16","168"
